id_venda,cliente_id,codFilial,nm_filial,cidade_filial,estado_filial,dt_venda,categoria_prod,subcategoria,produto,qtd,vl_unit,vl_total,total_sem_desconto,forma_pgto,canal_venda,flag_campanha,status_venda
1,129,SL,Sul,"Porto Alegre",RS,2025-05-10,Papelaria,Mochilas,"Caderno 10 matérias",5,7.50,37.50,37.50,Debito,Nao_Informado,0,PAGO
2,121,NRT,Norte,Belém,PA,2024-05-07,Mercearia,Nao_Informado,"Arroz 5kg",1,18.00,18.00,18.00,Credito,APP,0,PAGO
3,595,CTR,Centro,"São Paulo",SP,2024-06-14,Papelaria,Nao_Informado,"Caneta azul",3,25.00,75.00,75.00,Dinheiro,"Loja física",0,PAGO
4,144,SL,Sul,"Porto Alegre",RS,2025-06-15,Higiene,Oral,"Creme dental",5,7.00,35.00,35.00,Credito,APP,0,PAGO
5,566,SL,Sul,"Porto Alegre",RS,2024-11-02,Mercearia,Nao_Informado,"Feijão 1kg",3,6.00,18.00,18.00,Debito,Site,0,PAGO
6,436,CTR,Centro,"São Paulo",SP,2024-06-16,Mercearia,Nao_Informado,"Arroz 5kg",1,8.00,8.00,8.00,Credito,Site,0,PAGO
7,445,NRT,Norte,Belém,PA,2024-07-13,Papelaria,Nao_Informado,"Caderno universitário",1,10.00,10.00,10.00,Debito,Nao_Informado,0,PAGO
8,232,CTR,Centro,"São Paulo",SP,2024-04-01,Bebidas,Refrigerantes,"Refrigerante cola 2L",4,5.00,20.00,20.00,Credito,APP,0,PAGO
9,358,CTR,Centro,"São Paulo",SP,2024-11-09,Bebidas,Nao_Informado,"Água mineral 500ml",5,3.00,15.00,15.00,Debito,APP,0,CANCELADO
10,607,NRT,Norte,Belém,PA,2025-06-28,Mercearia,Snacks,"Macarrão 500g",5,6.00,30.00,30.00,Debito,Site,0,CANCELADO
11,724,NRT,Norte,Belém,PA,2024-08-22,Mercearia,Nao_Informado,"Feijão 1kg",4,18.00,72.00,72.00,Debito,APP,0,PAGO
12,93,SL,Sul,"Porto Alegre",RS,2024-03-30,Papelaria,Cadernos,"Lápis de cor",2,5.00,10.00,10.00,Dinheiro,Site,0,CANCELADO
13,749,SL,Sul,"Porto Alegre",RS,2024-01-11,Mercearia,Nao_Informado,"Biscoito recheado",5,18.00,90.00,90.00,Debito,APP,0,PAGO
14,757,NRT,Norte,Belém,PA,2025-03-11,Papelaria,Nao_Informado,"Lápis de cor",6,5.00,30.00,30.00,Dinheiro,APP,1,PAGO
15,389,CTR,Centro,"São Paulo",SP,2024-05-16,Mercearia,Snacks,"Macarrão 500g",3,6.00,18.00,18.00,Credito,Site,0,PAGO
16,223,CTR,Centro,"São Paulo",SP,2024-09-28,Bebidas,Nao_Informado,"Refrigerante cola 2L",4,12.00,48.00,48.00,Credito,Nao_Informado,0,PAGO
17,364,CTR,Centro,"São Paulo",SP,2024-04-19,Papelaria,Cadernos,"Caneta preta",4,7.50,30.00,30.00,Credito,Nao_Informado,0,CANCELADO
18,405,CTR,Centro,"São Paulo",SP,2024-01-08,Bebidas,Água,"Água mineral 500ml",4,5.00,20.00,20.00,Debito,Nao_Informado,0,PAGO
19,100,CTR,Centro,"São Paulo",SP,2024-04-07,Bebidas,Refrigerantes,"Suco de laranja 1L",4,9.00,36.00,36.00,Credito,APP,0,NAO_INFORMADO
20,699,CTR,Centro,"São Paulo",SP,2024-09-29,Mercearia,Snacks,"Biscoito recheado",5,12.00,60.00,60.00,Credito,APP,0,PAGO
21,351,NRT,Norte,Belém,PA,2024-01-14,Higiene,Nao_Informado,"Sabonete em barra",4,14.00,56.00,56.00,Debito,APP,0,PAGO
22,270,CTR,Centro,"São Paulo",SP,2025-06-07,Mercearia,Nao_Informado,"Arroz 5kg",4,4.00,16.00,16.00,Credito,APP,0,PAGO
23,197,CTR,Centro,"São Paulo",SP,2024-06-01,Mercearia,Nao_Informado,"Macarrão 500g",5,6.00,30.00,30.00,Debito,Site,0,PAGO
